Brand,Model Name,Core,CPU Manufacturer,Clock Speed,RAM Size,Storage Type,Display Type,Display Size,Graphics Processor,Screen Resolution,OS,Laptop Weight,Special Features,Warranty,Average Battery Life,Price,Description,laptop_feature
Dell,Inspiron,i5,Intel,2.4 GHz,8GB,SSD,LCD,"15.6""",Intel UHD,1920x1080,Windows 10,2.5 kg,Backlit Keyboard,1 year,6 hours,"35,000","The Dell Inspiron is a versatile laptop that combines powerful performance and affordability. It features an Intel Core i5 processor clocked at 2.4 GHz, ensuring basic multitasking and efficient computing. With 8GB of RAM and an SSD, it offers quick data access and ample storage capacity. The laptop sports a vibrant 15.6"" LCD display with a resolution of 1920x1080, delivering crisp visuals and immersive viewing experience. Weighing just 2.5 kg, it is highly portable, making it ideal for on-the-go usage. Additionally, it comes with an Intel UHD GPU for basic graphical performance and a backlit keyboard for enhanced typing convenience. With a one-year warranty and a battery life of up to 6 hours, the Dell Inspiron is a reliable companion for work or entertainment. All these features are packed at an affordable price of 35,000, making it an excellent choice for budget-conscious users.","
 Output: {'GPU intensity': 'low', 'Display quality': 'medium', 'Portability': 'medium','Multitasking': 'low', 'Processing speed': 'medium'}"
MSI,GL65,i7,Intel,2.6 GHz,16GB,HDD+SSD,IPS,"15.6""",NVIDIA GTX,1920x1080,Windows 10,2.3 kg,RGB Keyboard,2 years,4 hours,"55,000","The MSI GL65 is a high-performance laptop designed for gaming enthusiasts. Powered by an Intel Core i7 processor running at 2.6 GHz, it delivers good processing power for smooth gaming and demanding tasks. With 16GB of RAM and a combination of HDD and SSD storage, it offers ample memory and fast data access. The laptop features a 15.6"" IPS display with a resolution of 1920x1080, ensuring vivid colors and wide viewing angles for an immersive gaming experience. Equipped with an NVIDIA GTX graphics card, it provides excellent visual performance and smooth gameplay. Weighing just 2.3 kg, it offers decent portability. The laptop also boasts an RGB keyboard, allowing customizable lighting effects for a personalized gaming setup. With a two-year warranty and a battery life of up to 4 hours, the MSI GL65 offers reliability and durability. Priced at 55,000, it offers excellent value for money for gamers seeking a powerful gaming laptop.","
  Output: {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'medium', 'Multitasking': 'high', 'Processing speed': 'high'}"
HP,EliteBook,i7,Intel,2.8 GHz,16GB,SSD,LED,"14""",Intel UHD,1920x1080,Windows 11,1.5 kg,Fingerprint Sensor,3 years,8 hours,"90,000","The HP EliteBook is a premium laptop designed for professionals who value performance and security. It features an Intel Core i7 processor clocked at 2.8 GHz, providing good speed and power for demanding tasks. With 16GB of RAM and an SSD,  it offers fast and efficient performance along with ample storage capacity. The laptop sports a 14"" LED display with a resolution of 1920x1080, delivering sharp visuals and vibrant colors. It also comes with an Intel UHD GPU for basic graphical performance. Weighing just 1.5 kg, it offers decent portability. The laptop is equipped with a fingerprint sensor for secure and convenient login. With a three-year warranty and a battery life of up to 8 hours, it ensures long-lasting reliability. Priced at 90,000, the HP EliteBook provides top-notch features and durability for professional users.","
  Output: {'GPU intensity': 'low', 'Display quality': 'medium', 'Portability': 'high', 'Multitasking': 'high', 'Processing speed': 'high'}"
Lenovo,IdeaPad,i3,Intel,2.1 GHz,8GB,HDD,TN,"15.6""",Intel UHD,1366x768,Windows 10,2.2 kg,Dolby Audio,1 year,5 hours,"25,000","The Lenovo IdeaPad is a versatile laptop that balances performance and affordability. It features an Intel Core i3 processor running at 2.1 GHz, offering reliable computing power for everyday tasks. With 8GB of RAM and an HDD, it provides adequate memory and storage capacity. The laptop sports a 15.6"" TN display with a resolution of 1366x768, delivering decent visuals for multimedia consumption. It comes with an Intel UHD GPU for basic graphical performance. Weighing 2.2 kg, it is moderately portable. The laptop is equipped with Dolby Audio for immersive sound quality during media playback. With a one-year warranty and a battery life of up to 5 hours, the Lenovo IdeaPad ensures reliable performance. Priced at 25,000, it offers affordability for users on a budget.","
  output: {'GPU intensity': 'low', 'Display quality': 'low', 'Portability': 'medium', 'Multitasking': 'low', 'Processing speed': 'low'}"
ASUS,ZenBook Pro,i9,Intel,3.1 GHz,64GB,SSD,OLED,"15.6""",NVIDIA RTX,3840x2160,Windows 10,1.8 kg,NanoEdge Display,2 years,7 hours,"2,00,000","The ASUS ZenBook Pro is a high-end laptop that offers exceptional performance and a stunning display. It is powered by an Intel Core i9 processor clocked at 3.1 GHz, providing outstanding processing power for demanding tasks and gaming. With a massive 64GB of RAM and an SSD, it offers extensive memory and storage capabilities for multitasking and data-intensive applications. The laptop features a 15.6"" OLED display with a resolution of 3840x2160, delivering incredibly sharp visuals and vibrant colors. Equipped with an NVIDIA RTX graphics card, it offers top-notch graphical performance for gaming and content creation. Weighing just 1.8 kg, it offers decent portability. The laptop features a NanoEdge display with thin bezels for an immersive viewing experience. With a two-year warranty and a battery life of up to 7 hours, the ASUS ZenBook Pro combines reliability and durability. Priced at 200,000, it caters to users seeking uncompromising performance and a premium display.","
  {'GPU intensity': 'high', 'Display quality': 'high', 'Portability': 'high', 'Multitasking': 'high', 'Processing speed': 'high'}"
Acer,Predator,i7,Intel,2.8 GHz,16GB,SSD,IPS,"17.3""",NVIDIA GTX,1920x1080,Windows 10,3.2 kg,Dual Cooling Fans,1 year,5 hours,"80,000","The Acer Predator is a powerhouse laptop designed for gaming enthusiasts. It is equipped with an Intel Core i7 processor clocked at 2.8 GHz, providing good processing power for seamless gaming and demanding tasks. With 16GB of RAM and an SSD,  it offers good multitasking performance along with ample storage capacity. The laptop features a large 17.3"" IPS display with a resolution of 1920x1080, delivering stunning visuals and wide viewing angles. It also comes with an NVIDIA GTX graphics card for impressive gaming performance. Weighing 3.2 kg, it is a bit on the heavier side but still offers portability. The laptop features dual cooling fans for effective heat dissipation during intense gaming sessions. With a one-year warranty and a battery life of up to 5 hours, the Acer Predator ensures reliability and endurance. Priced at 80,000, it provides excellent value for gamers seeking powerful gaming performance.","
  {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'low', 'Multitasking': 'high', 'Processing speed': 'high'}"
Microsoft,Surface Laptop,i5,Intel,1.6 GHz,8GB,SSD,PixelSense,"13.5""",Intel Iris Plus,2256x1504,Windows 11,1.3 kg,Touchscreen Display,1 year,10 hours,"90,000","The Microsoft Surface Laptop is a premium device that combines sleek design with excellent performance. It is powered by an Intel Core i5 processor running at 1.6 GHz, providing efficient computing power for productivity and multimedia tasks. With 8GB of RAM and an SSD, it offers fast and reliable performance along with ample storage capacity. The laptop features a 13.5"" PixelSense touchscreen display with a resolution of 2256x1504, delivering vibrant visuals and precise touch input. It comes with Intel Iris Plus integrated graphics for decent graphics performance. Weighing just 1.3 kg, it is highly portable and suitable for on-the-go usage. The laptop features a touchscreen display, adding versatility to interaction and creativity. With a one-year warranty and an impressive battery life of up to 10 hours, the Microsoft Surface Laptop ensures reliability and all-day productivity. Priced at 90,000, it offers a premium experience for users seeking a stylish and high-performance laptop.","
  Output: {'GPU intensity': 'medium', 'Display quality': 'High', 'Portability': 'High', 'Multitasking': 'low', 'Processing speed': 'medium'}"
Lenovo,ThinkPad,Ryzen 7,AMD,3.0 GHz,16GB,SSD,IPS,"14""",NVIDIA GTX,2560x1440,Linux,1.6 kg,Backlit Keyboard,3 years,6 hours,"60,000","The Lenovo ThinkPad is a powerful laptop designed for professional users. It is equipped with a Ryzen 7 processor from AMD clocked at 3.0 GHz, providing good processing capabilities for demanding tasks. With 16GB of RAM and an SSD,  it offers good multitasking performance along with ample storage capacity. The laptop features a 14"" IPS display with a resolution of 2560x1440, delivering sharp visuals and accurate colors. It also comes with an NVIDIA GTX graphics card for enhanced graphical performance. Weighing just 1.6 kg, it offers decent portability. The laptop features a backlit keyboard for comfortable typing in low-light environments. With a three-year warranty and a battery life of up to 6 hours, the Lenovo ThinkPad offers reliability and durability. Priced at 60,000, it is an excellent choice for professionals seeking powerful performance and a versatile display.","
  output:  {'GPU intensity': 'high','Display quality': 'high','Portability': 'high','Multitasking': 'high','Processing speed': 'high'}"
HP,Pavilion,i5,Intel,2.3 GHz,12GB,HDD,LCD,"15.6""",Intel UHD,1366x768,Windows 10,2.1 kg,B&O Audio,1 year,4 hours,"30,000","The HP Pavilion is a budget-friendly laptop that offers reliable performance for everyday computing tasks. It features an Intel Core i5 processor running at 2.3 GHz, providing decent processing power for productivity and entertainment. With 12GB of RAM and an HDD, it offers decent multitasking capacity. The laptop sports a 15.6"" LCD display with a resolution of 1366x768, offering satisfactory visuals for everyday use. It comes with Intel UHD integrated graphics for basic graphical performance. Weighing 2.1 kg, it strikes a balance between portability and a larger display. The laptop features B&O audio for an enhanced audio experience during multimedia playback. With a one-year warranty and a battery life of up to 4 hours, the HP Pavilion ensures reliable performance for day-to-day tasks. Priced at 30,000, it provides affordability for budget-conscious users seeking","
  Output: {'GPU intensity': 'low', 'Display quality': 'low', 'Portability': 'medium', 'Multitasking': 'medium', 'Processing speed': 'medium'}"
ASUS,ROG Strix G,i7,Intel,2.9 GHz,16GB,SSD,IPS,"17.3""",NVIDIA RTX,1920x1080,Windows 10,2.9 kg,Aura Sync RGB Keyboard,2 years,5 hours,"85,000","The ASUS ROG Strix G is a high-performance gaming laptop designed for gamers seeking power and style. It is equipped with an Intel Core i7 processor clocked at 2.9 GHz, providing exceptional processing power for smooth gaming and demanding tasks. With 16GB of RAM and an SSD,  it offers good multitasking performance along with ample storage capacity. The laptop features a large 17.3"" IPS display with a resolution of 1920x1080, delivering stunning visuals and wide viewing angles. It comes with an NVIDIA RTX graphics card for immersive gaming performance. Weighing 2.9 kg, it is slightly heavier and offers basic portability. The laptop features an Aura Sync RGB keyboard, allowing customizable lighting effects for a personalized gaming setup. With a two-year warranty and a battery life of up to 5 hours, the ASUS ROG Strix G ensures reliability and endurance. Priced at 85,000, it offers excellent value for gamers seeking powerful gaming performance with stylish aesthetics.","
  Output: {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'low', 'Multitasking': 'high', 'Processing speed': 'high'}"
